Pais;Poblacion;INB pc;E. de vida;Continente
Syrian Arab Republic;19408;1570;74;No Europa
Tajikistan ;6640;390;66;No Europa
Tanzania;39459;350;52;No Europa
Thailand;63444;2990;70;No Europa
The former Yugoslav Republic of Macedonia;2036;3060;74;Europa
Timor-Leste;1114;840;60;No Europa
Togo;6410;350;58;No Europa
Tonga;100;2170;73;No Europa
Trinidad and Tobago;1328;13340;69;No Europa
Tunisia;10215;2970;74;No Europa
Turkey;73922;5400;72;No Europa
Turkmenistan;4899;1340;63;No Europa
Tuvalu;10;NaN;NaN;No Europa
Uganda;29899;300;50;No Europa
Ukraine ;46557;1950;68;Europa
United Arab Emirates;4248;23950;78;No Europa
United Kingdom;60512;40180;79;Europa
United States;302841;44970;78;No Europa
Uruguay;3331;5310;76;No Europa
Uzbekistan;26981;610;67;No Europa
Vanuatu;221;1710;70;No Europa
Venezuela (Bolivarian Republic of);27191;6070;73;No Europa
Viet Nam;86206;690;74;No Europa
Yemen;21732;760;62;No Europa
Zambia;11696;630;41;No Europa
Zimbabwe;13228;340;42;No Europa
